"38 Special","Flashback"
"Prince & The New Power Generation","Diamonds and Pearls"
"Prince and The Revolution","Purple Rain"
"Pure Prairie League","Bustin' Out"
"Queen","Greatest Hits I, II & III: The Platinum Collection"
"Queen","The Miracle"
"Queen","News of the World"
"Queen","A Night at the Opera"
"Queen","Sheer Heart Attack"
"Quiet Riot","Condition Critical"
"Quiet Riot","Winners Take All"
"R.E.M.","Document"
"R.E.M.","Green"
"R.E.M.","Out of Time"
"Ratt","Ratt & Roll 8191"
"REO Speedwagon","Hi Infidelity"
"REO Speedwagon","Hi Infidelity (30th anniversary edition)"
"REO Speedwagon","The Hits"
"REO Speedwagon","Only The Strong Survive"
"REO Speedwagon","The Second Decade of Rock and Roll 1981 to 1991"
"Richard Marx","Richard Marx"
"Rick Springfield","The Best of Rick Springfield"
"Rod Stewart","If We Fall in Love Tonight"
"Rod Stewart","It Had to Be You… The Great American Songbook"
"Rod Stewart","Rod Stewart Greatest Hits"
"The Rolling Stones","Jump Back: The Best of the Rolling Stones 1971 - 1993"
"The Rolling Stones","The Very Best Of The Rolling Stones 1964-1971"
"Rush","Counterparts"
"Rush","Fly by Night"
"Rush","Moving Pictures"
"Rush","Permanent Waves"
"Santana","Between Good And Evil"
"Santana","Persuasion"
"Santana","Shaman"
"Santana","Supernatural"
"Santana","Zebop!"
"Scorpions","The Best Of Scorpions - The Millennium Collection"
"Scorpions","Crazy World"
"Scorpions","Face the Heat"
"Seal","Seal"
"Simon & Garfunkel","Bridge Over Troubled Water"
"Simple Minds","Icon: Simple Minds"
"Skid Row","Skid Row"
"Slaughter","Stick It to Ya"
"Slaughter","The Wild Life"
"Smash Mouth","Fush Yu Mang"
"Smash Mouth","Smash Mouth"
"Smash Mouth","Smash Mouth Icon"
"The Smithereens","Especially for You"
"Steely Dan","Two Against Nature"
"Steve Miller Band","Greatest Hits 1974-78"
"Steve Perry","For the Love of Strange Medicine"
"Steve Perry","Traces"
"Stevie Ray Vaughan and Double Trouble","Couldn't Stand the Weather"
"Stevie Ray Vaughan and Double Trouble","The Essential Stevie Ray Vaughan and Double Trouble"
"Stevie Ray Vaughan and Double Trouble","Live Alive"
"Stevie Ray Vaughan and Double Trouble","Playlist: The Very Best of Stevie Ray Vaughan and Double Trouble"
"Stevie Ray Vaughan and Double Trouble","The Sky Is Crying"
"Sting & The Police","The Very Best of Sting & The Police"
"Stone Temple Pilots","Purple"
"Styx","The Grand Illusion"
"Styx","Pieces of Eight"
"Styx","Styx Greatest Hits"
"Supertramp","The Very Best of Supertramp"
"Talking Heads","Little Creatures"
"Tesla","Five Man Acoustical Jam"
"Tesla","Time’s Makin’ Changes: The Best of Tesla"
"Three Dog Night","Boogie Nights #2 - More Music from the Original Motion Picture"
"Tom Petty","Wildflowers"
"Tom Petty and the Heartbreakers","Damn the Torpedoes"
"Tom Petty and the Heartbreakers","Tom Petty & the Heartbreakers Greatest Hits"
"U2","The Joshua Tree"
"Van Halen","1984"
"Van Halen","5150"
"Van Halen","Balance"
"Van Halen","The Best of Both Worlds"
"Van Halen","Diver Down"
"Van Halen","For Unlawful Carnal Knowledge"
"Van Halen","OU812"
"Van Halen","Van Halen"
"Van Halen","Van Halen II"
"Van Morrison","Bang Masters"
"The Vaughan Brothers","Family Style"
"Walt Wagner","in the pink"
"War","Icon: War"
"Warrant","Cherry Pie"
"Warrant","Dirty Rotten Filthy Stinking Rich"
"Warren Zevon","Excitable Boy"
"White Lion","Mane Attraction"
"Whitesnake","20th Century Masters: The Millennium Collection: The Best of Whitesnake"
"Whitesnake","Whitesnake"
"Whitesnake","Whitesnake (30th anniversary edition)"
"The Who","Tommy"
"The Who","The Who Greatest Hits"
"The Who","The Who Hits 50!"
"The Who","The Who Sings My Generation"
"The Who","Who’s Next"
"Winger","Winger"
"Y & T","Earthquake - The A&M Years 1981 - 1985"
"Yes","90125"
"Yes","Fragile"
"ZZ Top","The Best of ZZ Top"
"ZZ Top","Eliminator"
"ZZ Top","Fandango!"
"ZZ Top","Greatest Hits"
"ZZ Top","Recycler"
"ZZ Top","Tres hombres"
